,t (h),pwf1 (bar),pwf2 (bar),pavg (bar),q (m3/d)
0,0.0,400.0,400.0,399.99999999999835,0.0
1,0.5,390.250318473663,390.711708586979,399.73655369320767,-274.9709788562635
2,1.0,389.4118527286366,389.8676363061802,399.4731073962553,-274.9709685875345
3,1.5,388.81193527648685,389.3512033110095,399.2096610970682,-274.9709709200216
4,2.0,388.28825601969515,388.91798018718765,398.94621479770007,-274.9709711089909
5,2.5,387.8044896317984,388.5224727055388,398.68276849826685,-274.97097117687986
6,3.0,387.346082621611,388.14861275769135,398.4193221988264,-274.97097118442304
7,3.5,386.90569197223067,387.7886323015689,398.1558758993881,-274.97097118224565
8,4.0,386.4790858417465,387.4381326007297,397.89242959996125,-274.97097117026976
9,4.5,386.06359097387394,387.09439861894504,397.6289833005392,-274.97097116529284
10,5.0,385.65739485571726,386.755662634159,397.3655370011781,-274.97097110160314
11,5.5,385.25919552856556,386.4207299157929,397.102090701788,-274.9709711319316
12,6.0,384.8680118722783,386.0887694535343,396.8386444024261,-274.97097110245863
13,6.5,384.4830746957037,385.7591893223551,396.57519810311646,-274.9709710479453
14,7.0,384.10376116569506,385.4315590458622,396.3117518038254,-274.97097102850404
15,7.5,383.72955364799515,385.10555957471996,396.0483055044878,-274.97097107710727
16,8.0,383.3600128860573,384.7809502088905,395.784859205212,-274.9709710126399
17,8.5,382.9947598749197,384.45754622200883,395.5214129059729,-274.9709709743018
18,9.0,382.6334632237532,384.1352034753153,395.2579666067366,-274.9709709713467
19,9.5,382.2758300740909,383.81380767773123,394.994520307538,-274.9709709320752
20,10.0,381.9215993679936,383.49326676456155,394.73107400831805,-274.9709709543161
21,10.5,381.5705367473502,383.1735054469462,394.46762770916126,-274.9709708883712
22,11.0,381.22243059953024,382.854461273612,394.2041814099855,-274.97097090820137
23,11.5,380.8770889008082,382.53608171839426,393.94073511082865,-274.970970888449
24,12.0,380.5343366991245,382.218322069899,393.6772888117127,-274.97097084575597
25,12.5,380.19401402609753,381.90114382507227,393.4138425125835,-274.97097085959814
26,13.0,379.85597416987434,381.5845134935206,393.1503962134453,-274.9709708690077
27,13.5,379.5200822159234,381.2684016798387,392.8869499144015,-274.9709707704793
28,14.0,379.1862138155133,380.9527823940847,392.6235036153339,-274.9709707952864
29,14.5,378.85425410317043,380.63763248045393,392.3600573162581,-274.9709708038406
30,15.0,378.5240967898761,380.32293121160177,392.0966110171658,-274.9709708211044
31,15.5,378.195643348745,380.0086599327367,391.83316471814686,-274.9709707445058
32,16.0,377.8688023083671,379.69480178812614,391.5697184191033,-274.97097077016826
33,16.5,377.5434886272314,379.3813414950064,391.3062721200768,-274.97097075243784
34,17.0,377.2196231371149,379.0682651545331,391.04282582110716,-274.9709706930252
35,17.5,376.8971320541746,378.75556010477305,390.7793795221581,-274.97097067163986
36,18.0,376.5759465271689,378.44321477606894,390.51593322317615,-274.9709707058565
37,18.5,376.25600223911835,378.1312185772989,390.25248692416295,-274.97097073851785
38,19.0,375.93723905744054,377.8195618100463,389.98904062515663,-274.9709707313634
39,19.5,375.61960070254514,377.5082355721059,389.72559432624513,-274.9709706323684
40,20.0,375.30303445480257,377.1972316840426,389.4621480272433,-274.97097072661984
41,20.5,374.9874908881076,376.8865426231738,389.1987017282969,-274.9709706688403
42,21.0,374.6729236261679,376.57616146266645,388.93525542933804,-274.9709706817493
43,21.5,374.3592891206245,376.2660818177387,388.67180913044365,-274.97097061456026
44,22.0,374.04654644702754,375.9562977951382,388.4083628315618,-274.9709706014179
45,22.5,373.7346571268308,375.6468039612944,388.14491653266316,-274.9709706189151
46,23.0,373.42358494039433,375.33759527729967,387.8814702337394,-274.9709706451997
47,23.5,373.11329578767993,375.02866708875683,387.6180239348533,-274.9709706058506
48,24.0,372.8037575343102,374.7200150760212,387.3545776359942,-274.9709705776996
49,24.5,372.4949398887657,374.4116352403323,387.09113133712725,-274.9709705858649
50,25.0,372.18681426326015,374.1035238504535,386.8276850382752,-274.97097057031186
51,25.5,371.8793536780077,373.79567744362146,386.5642387393788,-274.9709706165821
52,26.0,371.5725326486338,373.4880927886848,386.30079244050444,-274.97097059364137
53,26.5,371.2663270894392,373.1807668653468,386.0373461417201,-274.9709704996234
54,27.0,370.960714230842,372.87369685525977,385.7738998429258,-274.97097051004397
55,27.5,370.6556725263627,372.566880109083,385.5104535441777,-274.9709704618295
56,28.0,370.3511815832407,372.2603141429232,385.24700724531135,-274.9709705852428
57,28.5,370.0472220840684,371.953996611274,384.98356094649097,-274.9709705372617
58,29.0,369.7437757297842,371.64792530776384,384.7201146476613,-274.9709705469823
59,29.5,369.440825171449,371.34209814279467,384.4566683488197,-274.97097055942476
60,30.0,369.1383539523838,371.03651313227317,384.19322205009894,-274.9709704332898
61,30.5,368.83634646173044,370.7311683978128,383.9297757513553,-274.9709704571637
62,31.0,368.5347878753627,370.42606214432107,383.66632945255384,-274.9709705175094
63,31.5,368.2336641074974,370.12119264890566,383.40288315379655,-274.97097047139465
64,32.0,367.93296178354353,369.8165582761039,383.1394368550965,-274.97097041167103
65,32.5,367.6326681832576,369.5121574469305,382.8759905562964,-274.9709705161096
66,33.0,367.3327712031329,369.2079886337962,382.61254425757966,-274.97097042909047
67,33.5,367.0332593350531,368.904050375259,382.3490979588868,-274.9709704042056
68,34.0,366.7341216184045,368.6003412479664,382.0856516601366,-274.970970464007
69,34.5,366.4353476162336,368.2968598748732,381.8222053613711,-274.9709704799488
70,35.0,366.13692737914135,367.9936049093289,381.5587590625922,-274.97097049402424
71,35.5,365.8388514279402,367.69057504572595,381.29531276382147,-274.9709704853924
72,36.0,365.5411107196306,367.3877690029048,381.0318664651151,-274.97097041828107
73,36.5,365.2436966327912,367.0851855363267,380.7684201663214,-274.97097050942176
74,37.0,364.9466009268199,366.78282340769306,380.50497386763385,-274.97097039860654
75,37.5,364.64981574401924,366.480681417571,380.24152756895177,-274.97097039292964
76,38.0,364.3533335713937,366.17875837467454,379.9780812702975,-274.97097036392324
77,38.5,364.05714723141017,365.8770531096322,379.7146349715213,-274.97097049106924
78,39.0,363.76124985486416,365.5755644576493,379.45118867283406,-274.9709703983732
79,39.5,363.4656348808371,365.27429128158957,379.18774237416767,-274.9709703765212
80,40.0,363.17029602419564,364.9732324451613,378.92429607553316,-274.9709703432377
81,40.5,362.875227269067,364.67238682509407,378.66084977683977,-274.97097040474995
82,41.0,362.5804228533466,364.3717533066874,378.3974034781771,-274.97097037263296
83,41.5,362.28587725599664,364.07133078314365,378.13395717953057,-274.9709703558357
