    Size     PDF      Umean   Urms      Vmean   Vrms       Wmean     Wrms
     um       %        m/s     m/s       m/s    m/s         m/s       m/s
  2.5   0.2547   7.2575  1.3773  -0.0657  0.6940   0.4396   0.6818
  7.5   1.5523   7.2575  1.3773  -0.2639  0.6489   0.3797   0.6978
 12.5  12.4430   7.5572  1.6549  -0.2573  0.6058   0.1988   0.6808
 17.5  38.4746   8.3378  2.1933  -0.2010  0.5691  -0.0256   0.7387
 22.5  29.1017   9.2282  2.8898  -0.0231  0.6275  -0.3522   0.8902
 27.5  12.2317  10.1823  3.5090   0.2499  0.7028  -0.7294   0.9860
 32.5   3.9135  11.3612  3.8020   0.4941  0.7906  -0.9361   1.1315
 37.5   1.1564  12.2435  3.4089   0.5507  0.8024  -0.8341   1.0360
 42.5   0.3480  12.2435  3.4089   0.7476  0.9009  -1.1721   1.0591
 47.5   0.1078  12.2435  3.4089   0.7892  0.8147  -1.2961   1.1270
 52.5   0.0329  12.2435  3.4089   0.9289  0.8147  -1.2132   1.1270
 57.5   0.0386  12.2435  3.4089   0.8480  0.8147  -0.9247   1.1270
 62.5   0.0170  12.2435  3.4089   0.1987  0.8147  -0.8051   1.1270
 67.5   0.0180  12.2435  3.4089   0.3490  0.8147  -1.1559   1.1270
 72.5   0.0218  12.2435  3.4089  -0.0542  0.8147   0.3608   1.1270
 77.5   0.0441  12.2435  3.4089   0.1147  0.8147   0.5731   1.1270
 82.5   0.0918  12.2435  3.4089   0.0551  0.8147  -0.7991   1.1270
 87.5   0.0706  12.2435  3.4089  -0.3683  0.8147   0.8930   1.1270
 92.5   0.0281  12.2435  3.4089   0.3019  0.8147   0.3318   1.1270
 97.5   0.0179  12.2435  3.4089   0.0436  0.8147   0.0000   1.1270
102.5   0.0351  12.2435  3.4089   0.0000  0.8147   0.4499   1.1270
107.5   0.0000  12.2435  3.4089   0.5964  0.8147   0.4764   1.1270
112.5   0.0000  12.2435  3.4089   0.0000  0.8147   0.0000   1.1270
