"kappa","mut","rho","CO2","pd","k","H2O","alphat","N2","O2","dQ","Sevap","aC3H6O","p","T","epsilon","U:0","U:1","U:2","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.00447074,1.23189,0,100001,15.1533,0,0.00447074,0.748172,0.227294,0,6.16995,0.0245339,100000,285.197,5700.29,18.7554,0,0,58,1,0,0.1,0,0
0,0.00447903,1.23093,0,100001,15.2906,0,0.00447903,0.748388,0.227359,0,1.42111,0.0242532,100000,285.379,5788.52,18.6371,0.0673946,0,188,1,0.000749286,0.1,0.000749286,0
0,0.00450808,1.22907,0,100001,15.6649,0,0.00450808,0.748848,0.227499,0,0.569507,0.023653,100000,285.723,6027.07,18.285,0.124307,0,448,1,0.00149857,0.1,0.00149857,0
0,0.00455376,1.22655,0,100001,16.1562,0,0.00455376,0.749501,0.227696,0,0.31672,0.0228022,100000,286.184,6333.75,17.7316,0.175047,0,708,1,0.00224786,0.1,0.00224786,0
0,0.00460606,1.22351,0,100001,16.6238,0,0.00460606,0.750312,0.227942,0,0.245806,0.0217459,100000,286.743,6612.82,17.0197,0.215402,0,968,1,0.00299714,0.1,0.00299714,0
0,0.00465245,1.22005,0,100001,16.9476,0,0.00465245,0.751242,0.228224,0,0.245776,0.0205337,100000,287.377,6784.91,16.1932,0.244178,0,1228,1,0.00374643,0.1,0.00374643,0
0,0.004681,1.21632,0,100001,17.0472,0,0.004681,0.752257,0.228532,0,0.204935,0.0192108,100000,288.066,6802.04,15.2915,0.261398,0,1488,1,0.00449572,0.1,0.00449572,0
0,0.00468057,1.21237,0,100001,16.8666,0,0.00468057,0.753341,0.228861,0,0.14069,0.0177986,100000,288.798,6637.59,14.3341,0.267085,0,1618,1,0.005245,0.1,0.005245,0
0,0.00464641,1.20841,0,100001,16.4239,0,0.00464641,0.754434,0.229192,0,0.130187,0.0163744,100000,289.535,6319.64,13.3751,0.262618,0,1878,1,0.00599429,0.1,0.00599429,0
0,0.00457677,1.20447,0,100001,15.7478,0,0.00457677,0.755528,0.229524,0,0.0936643,0.0149482,100000,290.272,5879.68,12.4234,0.249529,0,2008,1,0.00674358,0.1,0.00674358,0
0,0.00447199,1.20059,0,100001,14.8796,0,0.00447199,0.75661,0.229852,0,0.0763758,0.0135385,100000,291.001,5355.15,11.4919,0.229257,0,2138,1,0.00749286,0.1,0.00749286,0
0,0.00433119,1.19682,0,100001,13.8514,0,0.00433119,0.757667,0.230172,0,0.0342724,0.0121606,100000,291.713,4776.9,10.5908,0.202676,0,2268,1,0.00824215,0.1,0.00824215,0
0,0.0041548,1.19321,0,100000,12.7022,0,0.0041548,0.758688,0.230482,0,0.0316928,0.0108303,100000,292.401,4176.36,9.72828,0.170828,0,2398,1,0.00899143,0.1,0.00899143,0
0,0.00394452,1.18976,0,100000,11.4729,0,0.00394452,0.759667,0.230778,0,0.0283354,0.00955534,100000,293.059,3580.86,8.90928,0.134889,0,2528,1,0.00974072,0.1,0.00974072,0
0,0.00370317,1.18649,0,100000,10.2002,0,0.00370317,0.760599,0.231061,0,0.0154925,0.00833975,100000,293.687,3009.86,8.13557,0.0961894,0,2658,1,0.01049,0.1,0.01049,0
0,0.00343447,1.18339,0,100000,8.91153,0,0.00343447,0.761487,0.23133,0,0.0059353,0.00718361,100000,294.284,2473.17,7.40555,0.0555537,0,2788,1,0.0112393,0.1,0.0112393,0
0,0.00314304,1.18045,0,100000,7.62435,0,0.00314304,0.762331,0.231586,0,0.0029485,0.00608283,100000,294.852,1972.65,6.71528,0.0135951,0,2918,1,0.0119886,0.1,0.0119886,0
0,0.0028216,1.17776,0,100000,6.37566,0,0.0028216,0.763107,0.231821,0,0.00330764,0.00507243,100000,295.374,1537.49,6.08814,-0.0294235,0,2918,1,0.0127379,0.1,0.0127379,0
0,0.00248236,1.17531,0,100000,5.20115,0,0.00248236,0.763819,0.232036,0,0.00391973,0.00414501,100000,295.853,1163.74,5.51717,-0.0712787,0,3048,1,0.0134872,0.1,0.0134872,0
0,0.00213271,1.17299,0,100000,4.06998,0,0.00213271,0.764493,0.232241,0,0.00467961,0.00326608,100000,296.307,825.871,4.97904,-0.112454,0,3048,1,0.0142364,0.1,0.0142364,0
0,0.00176836,1.17107,0,100000,3.12511,0,0.00176836,0.765052,0.23241,0,0.00284517,0.00253868,100000,296.683,591.656,4.54081,-0.148943,0,3178,1,0.0149857,0.1,0.0149857,0
0,0.00140649,1.16925,0,100000,2.22821,0,0.00140649,0.765584,0.232571,0,0.00116282,0.00184576,100000,297.041,376.355,4.12467,-0.183828,0,3308,1,0.015735,0.1,0.015735,0
0,0.00105868,1.16784,0,100000,1.55338,0,0.00105868,0.765994,0.232695,0,0.000525933,0.00131049,100000,297.318,245.34,3.80922,-0.211129,0,3308,1,0.0164843,0.1,0.0164843,0
0,0.000729051,1.16655,0,100000,0.935932,0,0.000729051,0.766373,0.23281,0,2.57108e-05,0.000817367,100000,297.573,128.266,3.51959,-0.235591,0,3438,1,0.0172336,0.1,0.0172336,0
0,0.000485572,1.16578,0,100000,0.590543,0,0.000485572,0.766598,0.232878,0,0.000173295,0.000524068,100000,297.726,77.2707,3.35241,-0.246601,0,3438,1,0.0179829,0.1,0.0179829,0
0,0.000242094,1.16501,0,100000,0.245153,0,0.000242094,0.766823,0.232946,0,0.000320879,0.00023077,100000,297.878,26.2755,3.18523,-0.257612,0,3438,1,0.0187322,0.1,0.0187322,0
0,0.000151194,1.16478,0,100000,0.149726,0,0.000151194,0.766891,0.232967,0,0.000326345,0.000141958,100000,297.925,15.7292,3.13951,-0.254726,0,3568,1,0.0194814,0.1,0.0194814,0
0,6.21363e-05,1.16455,0,100000,0.0573174,0,6.21363e-05,0.766957,0.232987,0,0.000330095,5.56164e-05,100000,297.97,5.67145,3.09525,-0.251673,0,3568,1,0.0202307,0.1,0.0202307,0
0,1.98882e-05,1.16444,0,100000,0.015013,0,1.98882e-05,0.766988,0.232996,0,0.000257644,1.5624e-05,100000,297.992,1.19015,3.07761,-0.246683,0,3698,1,0.02098,0.1,0.02098,0
0,1.04466e-05,1.16442,0,100000,0.00782435,0,1.04466e-05,0.766994,0.232998,0,0.000131786,8.11575e-06,100000,297.996,0.617132,3.07862,-0.240336,0,3698,1,0.0217293,0.1,0.0217293,0
0,1.00492e-06,1.1644,0,100000,0.000635677,0,1.00492e-06,0.767,0.233,0,5.92885e-06,6.07474e-07,100000,298,0.044112,3.07964,-0.233989,0,3698,1,0.0224786,0.1,0.0224786,0
0,4.47495e-07,1.1644,0,100000,0.000222325,0,4.47495e-07,0.767,0.233,0,0,1.70526e-07,100000,298,0.0122602,3.08403,-0.228857,0,3828,1,0.0232279,0.1,0.0232279,0
0,3.29279e-07,1.1644,0,100000,0.000143921,0,3.29279e-07,0.767,0.233,0,0,8.31593e-08,100000,298,0.00716188,3.08858,-0.223785,0,3828,1,0.0239772,0.1,0.0239772,0
0,2.18136e-07,1.1644,0,100000,7.01999e-05,0,2.18136e-07,0.767,0.233,0,0,1.00872e-09,100000,298,0.00236814,3.09312,-0.218772,0,3958,1,0.0247264,0.1,0.0247264,0
0,2.17966e-07,1.1644,0,100000,6.99489e-05,0,2.17966e-07,0.767,0.233,0,0,6.86109e-10,100000,298,0.00235316,3.09737,-0.214693,0,3958,1,0.0254757,0.1,0.0254757,0
0,2.17795e-07,1.1644,0,100000,6.9698e-05,0,2.17795e-07,0.767,0.233,0,0,3.63497e-10,100000,298,0.00233818,3.10162,-0.210613,0,3958,1,0.026225,0.1,0.026225,0
0,2.17624e-07,1.1644,0,100000,6.9447e-05,0,2.17624e-07,0.767,0.233,0,0,4.08847e-11,100000,298,0.0023232,3.10587,-0.206534,0,3958,1,0.0269743,0.1,0.0269743,0
0,2.1757e-07,1.1644,0,100000,6.94429e-05,0,2.1757e-07,0.767,0.233,0,0,2.53658e-12,100000,298,0.0023235,3.10985,-0.203216,0,4088,1,0.0277236,0.1,0.0277236,0
0,2.17531e-07,1.1644,0,100000,6.94711e-05,0,2.17531e-07,0.767,0.233,0,0,1.56578e-12,100000,298,0.00232581,3.11379,-0.199998,0,4088,1,0.0284729,0.1,0.0284729,0
0,2.17492e-07,1.1644,0,100000,6.94994e-05,0,2.17492e-07,0.767,0.233,0,0,5.9498e-13,100000,298,0.00232812,3.11773,-0.19678,0,4088,1,0.0292222,0.1,0.0292222,0
0,2.17463e-07,1.1644,0,100000,6.95305e-05,0,2.17463e-07,0.767,0.233,0,0,8.40324e-15,100000,298,0.00233051,3.12155,-0.19385,0,4218,1,0.0299714,0.1,0.0299714,0
0,2.1745e-07,1.1644,0,100000,6.95661e-05,0,2.1745e-07,0.767,0.233,0,0,5.9607e-15,100000,298,0.00233304,3.12521,-0.19136,0,4218,1,0.0307207,0.1,0.0307207,0
0,2.17436e-07,1.1644,0,100000,6.96017e-05,0,2.17436e-07,0.767,0.233,0,0,3.51816e-15,100000,298,0.00233558,3.12886,-0.188869,0,4218,1,0.03147,0.1,0.03147,0
0,2.17423e-07,1.1644,0,100000,6.96373e-05,0,2.17423e-07,0.767,0.233,0,0,1.07561e-15,100000,298,0.00233811,3.13251,-0.186378,0,4218,1,0.0322193,0.1,0.0322193,0
0,2.17429e-07,1.1644,0,100000,6.96774e-05,0,2.17429e-07,0.767,0.233,0,0,1.86452e-17,100000,298,0.00234073,3.13602,-0.184228,0,4348,1,0.0329686,0.1,0.0329686,0
