"kappa_average","mut_average","rho_average","CO2_average","pd_average","k_average","H2O_average","alphat_average","N2_average","O2_average","dQ_average","Sevap_average","aC3H6O_average","p_average","T_average","epsilon_average","U_average:0","U_average:1","U_average:2","cellID_average","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.00104257,1.26193,0,100001,2.80589,0,0.00104257,0.739599,0.2247,0,0,0.0357015,100000,280,857.657,31.9736,0,0,0,1,0,0,0,0
0,0.00105911,1.26393,0,100001,2.90568,0,0.00105911,0.739026,0.224527,0,1.34291,0.0364471,100000,279.665,907.721,31.0939,0,0,21,1,0.025,0.025,0,0
0,0.00147393,1.26306,0,100002,5.39339,0,0.00147393,0.739375,0.224631,0,1.7526,0.0359939,100000,279.791,2244.9,29.3926,0,0,36,1,0.05,0.05,0,0
0,0.00333055,1.24873,0,100002,14.6905,0,0.00333055,0.743425,0.225858,0,3.98819,0.0307172,100000,282.24,7283.9,23.8323,0,0,48,1,0.075,0.075,0,0
0,0.00447074,1.23249,0,100001,15.1533,0,0.00447074,0.748059,0.227261,0,9.24467,0.0246807,100000,285.078,5700.29,18.7554,0,0,58,1,0.1,0.1,0,0
0,0.00494219,1.22141,0,100001,12.1458,0,0.00494219,0.751283,0.228238,0,13.6239,0.0204787,100000,287.05,3282.69,15.4523,0,0,66,1,0.125,0.125,0,0
0,0.00512356,1.21413,0,100001,9.34363,0,0.00512356,0.753445,0.228892,0,16.4463,0.0176629,100000,288.359,1862.3,13.2694,0,0,74,1,0.15,0.15,0,0
0,0.00517721,1.20901,0,100000,7.2474,0,0.00517721,0.754975,0.229355,0,18.6596,0.0156697,100000,289.286,1104.99,11.7572,0,0,80,1,0.175,0.175,0,0
0,0.00516417,1.20517,0,100000,5.73219,0,0.00516417,0.75612,0.229702,0,19.8389,0.0141774,100000,289.988,690.668,10.6622,0,0,86,1,0.2,0.2,0,0
0,0.00511916,1.2022,0,100000,4.63029,0,0.00511916,0.757006,0.229971,0,19.7576,0.0130235,100000,290.535,453.449,9.84201,0,0,91,1,0.225,0.225,0,0
0,0.00505805,1.19969,0,100000,3.81387,0,0.00505805,0.757741,0.230193,0,19.0768,0.0120663,100000,291.003,310.747,9.21071,0,0,96,1,0.25,0.25,0,0
0,0.00498698,1.1975,0,100000,3.1958,0,0.00498698,0.758364,0.230382,0,18.522,0.0112537,100000,291.415,220.843,8.7141,0,0,100,1,0.275,0.275,0,0
0,0.00491541,1.19561,0,100000,2.71866,0,0.00491541,0.758896,0.230543,0,17.1435,0.0105607,100000,291.772,161.973,8.31758,0,0,104,1,0.3,0.3,0,0
0,0.00483389,1.19389,0,100000,2.34316,0,0.00483389,0.759371,0.230687,0,16.0755,0.00994225,100000,292.102,122.124,7.9978,0,0,108,1,0.325,0.325,0,0
0,0.00474417,1.19228,0,100000,2.04052,0,0.00474417,0.759803,0.230818,0,14.2739,0.00937874,100000,292.413,94.2382,7.73786,0,0,112,1,0.35,0.35,0,0
0,0.0046361,1.19091,0,100000,1.79178,0,0.0046361,0.760171,0.23093,0,13.3869,0.00889912,100000,292.678,74.2698,7.52614,0,0,115,1,0.375,0.375,0,0
0,0.00450789,1.18961,0,100000,1.58464,0,0.00450789,0.760511,0.231033,0,11.9786,0.00845589,100000,292.931,59.6566,7.35236,0,0,118,1,0.4,0.4,0,0
0,0.00437465,1.18838,0,100000,1.41218,0,0.00437465,0.760828,0.231129,0,10.3823,0.00804331,100000,293.174,48.7739,7.20674,0,0,121,1,0.425,0.425,0,0
0,0.00425572,1.18731,0,100000,1.26969,0,0.00425572,0.761102,0.231212,0,9.37757,0.00768603,100000,293.384,40.4988,7.07961,0,0,124,1,0.45,0.45,0,0
