"kappa","mut","rho","CO2","pd","k","H2O","alphat","N2","O2","dQ","Sevap","aC3H6O","p","T","epsilon","U:0","U:1","U:2","Sevap_vol","cellID","Quality","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.00447074,1.23243,0,100001,15.1533,0,0.00447074,0.748075,0.227263,0,8.66976,0.0246613,100000,285.09,5700.29,18.7554,0,0,0,58,0,1,0,0.1,0,0
0,0.00447903,1.2313,0,100001,15.2906,0,0.00447903,0.748319,0.227338,0,1.72014,0.024343,100000,285.305,5788.52,18.6371,0.0673946,0,6.96164e-11,188,6.02088e-11,1,0.000749286,0.1,0.000749286,0
0,0.00450808,1.2293,0,100001,15.6649,0,0.00450808,0.748803,0.227485,0,0.580614,0.0237117,100000,285.676,6027.07,18.285,0.124307,0,6.44775e-11,448,1.40487e-10,1,0.00149857,0.1,0.00149857,0
0,0.00455376,1.22672,0,100001,16.1562,0,0.00455376,0.749469,0.227687,0,0.389003,0.0228434,100000,286.152,6333.75,17.7316,0.175047,0,5.61888e-11,708,2.20766e-10,1,0.00224786,0.1,0.00224786,0
0,0.00460606,1.22362,0,100001,16.6238,0,0.00460606,0.750289,0.227936,0,0.274761,0.0217747,100000,286.721,6612.82,17.0197,0.215402,0,3.39524e-11,968,3.01044e-10,1,0.00299714,0.1,0.00299714,0
0,0.00465245,1.22014,0,100001,16.9476,0,0.00465245,0.751225,0.22822,0,0.263125,0.0205551,100000,287.36,6784.91,16.1932,0.244178,0,6.50365e-11,1228,3.81323e-10,1,0.00374643,0.1,0.00374643,0
0,0.004681,1.21638,0,100001,17.0472,0,0.004681,0.752244,0.228529,0,0.249311,0.0192267,100000,288.053,6802.04,15.2915,0.261398,0,9.44773e-11,1488,4.61601e-10,1,0.00449572,0.1,0.00449572,0
0,0.00468057,1.2124,0,100001,16.8666,0,0.00468057,0.753334,0.228859,0,0.15521,0.0178072,100000,288.791,6637.59,14.3341,0.267085,0,1.13547e-10,1618,5.46931e-10,1,0.005245,0.1,0.005245,0
0,0.00464641,1.20842,0,100001,16.4239,0,0.00464641,0.754431,0.229192,0,0.125496,0.0163766,100000,289.533,6319.64,13.3751,0.262618,0,1.03219e-10,1878,7.84878e-10,1,0.00599429,0.1,0.00599429,0
0,0.00457677,1.20446,0,100001,15.7478,0,0.00457677,0.755529,0.229525,0,0.111227,0.0149464,100000,290.273,5879.68,12.4234,0.249529,0,8.67349e-11,2008,9.40953e-10,1,0.00674358,0.1,0.00674358,0
