"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.000828204,2.79089,100000,846.432,29.5412,0,0,1,0,0.5,0,0
0.000827999,2.79233,100000,847.518,29.5396,-7.07395e-06,0,1,4.99524e-05,0.5,4.99524e-05,0
0.000827793,2.79377,100000,848.605,29.5379,-1.41479e-05,0,1,9.99048e-05,0.5,9.99048e-05,0
0.000827588,2.79521,100000,849.691,29.5363,-2.12218e-05,0,1,0.000149857,0.5,0.000149857,0
0.000827382,2.79665,100000,850.777,29.5347,-2.82958e-05,0,1,0.00019981,0.5,0.00019981,0
0.000827177,2.79809,100000,851.864,29.533,-3.53697e-05,0,1,0.000249762,0.5,0.000249762,0
0.000825275,2.81161,100000,862.14,29.5176,-4.38251e-05,0,1,0.000299714,0.5,0.000299714,0
0.000824248,2.81898,100000,867.77,29.5092,-5.13265e-05,0,1,0.000349667,0.5,0.000349667,0
0.000822849,2.82917,100000,875.595,29.4976,-5.86466e-05,0,1,0.000399619,0.5,0.000399619,0
0.000821451,2.83935,100000,883.421,29.4859,-6.59666e-05,0,1,0.000449572,0.5,0.000449572,0
0.000820053,2.84954,100000,891.246,29.4742,-7.32867e-05,0,1,0.000499524,0.5,0.000499524,0
0.000818161,2.86387,100000,902.453,29.4577,-8.04388e-05,0,1,0.000549477,0.5,0.000549477,0
0.000816269,2.87821,100000,913.659,29.4411,-8.7591e-05,0,1,0.000599429,0.5,0.000599429,0
0.000814377,2.89254,100000,924.866,29.4246,-9.47431e-05,0,1,0.000649381,0.5,0.000649381,0
0.000812201,2.90962,100000,938.44,29.4047,-0.000101623,0,1,0.000699334,0.5,0.000699334,0
0.000809884,2.92806,100000,953.197,29.3832,-0.000108367,0,1,0.000749286,0.5,0.000749286,0
0.000807566,2.9465,100000,967.955,29.3617,-0.000115111,0,1,0.000799239,0.5,0.000799239,0
0.00080513,2.9663,100000,983.972,29.3384,-0.000121698,0,1,0.000849191,0.5,0.000849191,0
0.000802456,2.9888,100000,1002.51,29.3118,-0.00012797,0,1,0.000899143,0.5,0.000899143,0
0.000799781,3.0113,100000,1021.05,29.2852,-0.000134243,0,1,0.000949096,0.5,0.000949096,0
0.000797107,3.0338,100000,1039.59,29.2586,-0.000140516,0,1,0.000999048,0.5,0.000999048,0
0.000794136,3.06029,100000,1062.2,29.2267,-0.000146234,0,1,0.001049,0.5,0.001049,0
0.000791165,3.08678,100000,1084.8,29.1949,-0.000151952,0,1,0.00109895,0.5,0.00109895,0
0.000788194,3.11327,100000,1107.41,29.163,-0.00015767,0,1,0.00114891,0.5,0.00114891,0
0.000785057,3.14236,100000,1132.96,29.1275,-0.000162965,0,1,0.00119886,0.5,0.00119886,0
0.000781836,3.17276,100000,1159.99,29.0903,-0.000168049,0,1,0.00124881,0.5,0.00124881,0
0.000778616,3.20315,100000,1187.02,29.053,-0.000173132,0,1,0.00129876,0.5,0.00129876,0
0.000775321,3.23481,100000,1215.65,29.0139,-0.00017798,0,1,0.00134872,0.5,0.00134872,0
0.000771879,3.26899,100000,1247.5,28.971,-0.000182357,0,1,0.00139867,0.5,0.00139867,0
0.000768438,3.30317,100000,1279.36,28.9282,-0.000186733,0,1,0.00144862,0.5,0.00144862,0
0.000764996,3.33734,100000,1311.21,28.8853,-0.00019111,0,1,0.00149857,0.5,0.00149857,0
0.00076134,3.37516,100000,1348.39,28.8367,-0.000194717,0,1,0.00154852,0.5,0.00154852,0
0.000757684,3.41298,100000,1385.56,28.788,-0.000198324,0,1,0.00159848,0.5,0.00159848,0
0.000754028,3.4508,100000,1422.74,28.7393,-0.000201931,0,1,0.00164843,0.5,0.00164843,0
