Points:1,k
0,2.80136
8E-05,2.80583
0.00016,2.8103
0.00024,2.81477
0.00032,2.81924
0.0004,2.84266
0.00048,2.8569
0.00056,2.88018
0.00064,2.90469
0.00072,2.9292
0.0008,2.96183
0.00088,2.99623
0.00096,3.03063
0.00104,3.07244
0.00112,3.11657
0.0012,3.16071
0.00128,3.21151
0.00136,3.26514
0.00144,3.31876
0.00152,3.37829
0.0016,3.44109
0.00168,3.50389
0.00176,3.57182
0.00184,3.64342
0.00192,3.71503
0.002,3.79104
0.00208,3.87106
0.00216,3.95109
0.00224,4.03493
0.00232,4.12318
0.0024,4.21143
0.00248,4.30307
0.00256,4.39971
0.00264,4.49634
0.00272,4.59612
0.0028,4.70187
0.00288,4.80762
0.00296,4.91654
0.00304,5.03343
0.00312,5.15032
0.0032,5.27082
0.00328,5.40377
0.00336,5.53672
0.00344,5.67436
0.00352,5.8356
0.0036,5.99684
0.00368,6.16407
0.00376,6.38166
0.00384,6.59926
0.00392,6.82183
0.004,7.14632
0.00408,7.47081
0.00416,7.79531
0.00424,8.26515
0.00432,8.7369
0.0044,9.20865
0.00448,9.67216
0.00456,10.135
0.00464,10.5979
0.00472,10.6959
0.0048,10.7384
0.00488,10.7809
0.00496,10.1894
0.00504,9.44758
0.00512,8.70577
0.0052,7.50922
0.00528,6.28206
0.00536,5.05489
0.00544,4.04005
0.00552,3.04818
0.0056,2.05632
0.00568,1.46286
0.00576,1.04394
0.00584,0.625026
0.00592,0.309175
0.006,0.2269
0.00608,0.144624
0.00616,0.0623498
0.00624,0.0351671
0.00632,0.0289496
0.0064,0.0227321
0.00648,0.0165146
0.00656,0.0160211
0.00664,0.0158992
0.00672,0.0157774
0.0068,0.0156555
0.00688,0.0157119
0.00696,0.0157799
0.00704,0.0158479
0.00712,0.015916
0.0072,0.0159715
0.00728,0.016022
0.00736,0.0160725
0.00744,0.016123
0.00752,0.0161604
0.0076,0.016157
0.00768,0.0161536
0.00776,0.0161502
0.00784,0.0161468
0.00792,0.0161216
0.008,0.0160764
