"kappa","mut","rho","CO2","pd","k","H2O","alphat","N2","O2","dQ","aC3H6O","p","T","epsilon","U:0","U:1","U:2","flux","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00638585,0.00140753,1.263,0,100002,4.80714,0,0.00140753,0.73928,0.224602,0,0.0361185,100000,279.824,1866.87,27.1609,0,0,1.24375,35,1,0,0.049,0,0
0.00679687,0.00142156,1.26256,0,100002,5.17234,0,0.00142156,0.739393,0.224636,0,0.0359714,100000,279.9,2141.95,27.0063,0.0439044,0,1.24375,35,1,0.0006,0.049,0.0006,0
0.00858052,0.00154219,1.26057,0,100002,7.12453,0,0.00154219,0.739942,0.224803,0,0.0352548,100000,280.238,3758.68,26.1713,0.0865152,0,1.19672,295,1,0.0012,0.049,0.0012,0
0.0104144,0.00174705,1.25724,0,100002,9.85173,0,0.00174705,0.74086,0.225081,0,0.034059,100000,280.808,6326.02,24.9127,0.138347,0,1.07417,555,1,0.0018,0.049,0.0018,0
0.0119661,0.00198866,1.25257,0,100002,12.9039,0,0.00198866,0.742146,0.225471,0,0.0323835,100000,281.614,9457.33,23.3092,0.189865,0,0.991408,685,1,0.0024,0.049,0.0024,0
0.0129513,0.00221451,1.24648,0,100001,15.618,0,0.00221451,0.743806,0.225973,0,0.0302205,100000,282.677,12365.4,21.464,0.229983,0,0.803389,945,1,0.003,0.049,0.003,0
0.0134269,0.00239612,1.23957,0,100001,17.6029,0,0.00239612,0.745699,0.226547,0,0.0277547,100000,283.897,14430.5,19.5204,0.254569,0,0.708048,1075,1,0.0036,0.049,0.0036,0
0.0134467,0.0025145,1.2321,0,100001,18.6022,0,0.0025145,0.747752,0.227169,0,0.0250795,100000,285.229,15264.8,17.5616,0.259813,0,0.528579,1335,1,0.0042,0.049,0.0042,0
0.0131337,0.00256924,1.22432,0,100001,18.6751,0,0.00256924,0.749903,0.22782,0,0.0222768,100000,286.631,14965.4,15.63,0.246592,0,0.448517,1465,1,0.0048,0.049,0.0048,0
0.0125835,0.00255916,1.21655,0,100001,17.9313,0,0.00255916,0.752064,0.228475,0,0.0194616,100000,288.05,13769,13.7965,0.216781,0,0.299957,1725,1,0.0054,0.049,0.0054,0
