"kappa","mut","rho","CO2","pd","k","H2O","alphat","N2","O2","dQ","aC3H6O","p","T","epsilon","U:0","U:1","U:2","flux","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00300164,0.00419584,1.241,0,100023,13.5731,0,0.00419584,0.746258,0.226518,0,0.0272245,100000,283.485,4906.46,17.5724,0,0,0.597873,89,1,0,0.1,0,0
0.00295494,0.00420825,1.24021,0,100023,13.4365,0,0.00420825,0.746409,0.226565,0,0.0270258,100000,283.637,4789.78,17.4276,0.0609635,0.00265919,0.588993,689,1,0.000750713,0.1,0.00075,3.27145e-05
0.00298951,0.00423243,1.23845,0,100023,13.6893,0,0.00423243,0.746842,0.226701,0,0.0264576,100000,283.958,4936.45,17.0843,0.116663,0.00508879,0.562202,1489,1,0.00150143,0.1,0.0015,6.54291e-05
0.00303987,0.0042822,1.23578,0,100023,14.1148,0,0.0042822,0.747519,0.226912,0,0.0255686,100000,284.443,5176.08,16.5575,0.164874,0.00719169,0.520801,2289,1,0.00225214,0.1,0.00225,9.81436e-05
0.00308095,0.00433647,1.23237,0,100023,14.5274,0,0.00433647,0.748398,0.227187,0,0.0244155,100000,285.063,5399.73,15.882,0.20285,0.00884821,0.483178,2889,1,0.00300285,0.1,0.003,0.000130858
0.00309903,0.00438183,1.22843,0,100023,14.813,0,0.00438183,0.749423,0.227508,0,0.0230695,100000,285.782,5538.24,15.101,0.229745,0.0100213,0.428309,3689,1,0.00375357,0.1,0.00375,0.000163573
0.00308813,0.00440788,1.22413,0,100023,14.9006,0,0.00440788,0.75055,0.227859,0,0.0215898,100000,286.57,5551.29,14.2511,0.245708,0.0107176,0.371904,4489,1,0.00450428,0.1,0.0045,0.000196287
0.00304708,0.00440599,1.2196,0,100023,14.7504,0,0.00440599,0.751748,0.228234,0,0.0200176,100000,287.404,5422.12,13.3583,0.251026,0.0109496,0.323732,5089,1,0.00525499,0.1,0.00525,0.000229002
0.00298087,0.0043725,1.21502,0,100023,14.3737,0,0.0043725,0.752969,0.228615,0,0.0184157,100000,288.253,5168.64,12.4585,0.247015,0.0107746,0.285519,5489,1,0.00600571,0.1,0.006,0.000261716
0.00289376,0.00430543,1.21046,0,100023,13.7909,0,0.00430543,0.754195,0.228998,0,0.0168063,100000,289.104,4813.92,11.5644,0.23497,0.0102492,0.225595,6089,1,0.00675642,0.1,0.00675,0.000294431
0.00278975,0.00420337,1.20597,0,100023,13.0283,0,0.00420337,0.755408,0.229378,0,0.0152143,100000,289.945,4384.41,10.6897,0.215804,0.00941322,0.205445,6289,1,0.00750713,0.1,0.0075,0.000327145
0.00267303,0.00406705,1.20162,0,100023,12.1233,0,0.00406705,0.756593,0.229748,0,0.0136593,100000,290.767,3910.24,9.8443,0.190714,0.00831884,0.165797,6689,1,0.00825784,0.1,0.00825,0.00035986
0.0025474,0.00389936,1.19743,0,100023,11.1178,0,0.00389936,0.75774,0.230106,0,0.0121534,100000,291.562,3418.52,9.03359,0.161029,0.00702399,0.128129,7089,1,0.00900856,0.1,0.009,0.000392574
0.00241522,0.00370219,1.19342,0,100022,10.0428,0,0.00370219,0.758844,0.230451,0,0.0107054,100000,292.327,2928.41,8.26138,0.127688,0.00556969,0.110452,7289,1,0.00975927,0.1,0.00975,0.000425289
0.00227816,0.00347663,1.18962,0,100022,8.92726,0,0.00347663,0.759895,0.23078,0,0.00932489,100000,293.056,2456.72,7.53204,0.0915154,0.00399185,0.0781848,7689,1,0.01051,0.1,0.0105,0.000458004
0.00213716,0.00322423,1.18604,0,100022,7.79687,0,0.00322423,0.76089,0.231091,0,0.00801882,100000,293.746,2015.81,6.84828,0.0534721,0.00233242,0.063865,7889,1,0.0112607,0.1,0.01125,0.000490718
0.00199274,0.00294889,1.18268,0,100022,6.67391,0,0.00294889,0.76183,0.231384,0,0.00678579,100000,294.398,1611.09,6.20805,0.0144787,0.000631552,0.0509028,8089,1,0.0120114,0.1,0.012,0.000523433
0.00184531,0.00265251,1.17955,0,100022,5.5798,0,0.00265251,0.762708,0.231659,0,0.00563343,100000,295.008,1249.26,5.61471,-0.0252049,-0.00109942,0.039379,8289,1,0.0127621,0.1,0.01275,0.000556147
0.00169612,0.00233808,1.17668,0,100022,4.5393,0,0.00233808,0.763517,0.231912,0,0.00457147,100000,295.569,936.317,5.07256,-0.0643682,-0.0028077,0.0294338,8489,1,0.0135128,0.1,0.0135,0.000588862
0.00154558,0.00200913,1.17408,0,100022,3.57293,0,0.00200913,0.764253,0.232142,0,0.00360531,100000,296.08,674.365,4.5835,-0.101696,-0.00443592,0.0210665,8689,1,0.0142635,0.1,0.01425,0.000621576
0.0013931,0.00166977,1.17175,0,100022,2.69674,0,0.00166977,0.764914,0.232348,0,0.00273818,100000,296.54,462.28,4.14841,-0.136509,-0.00595444,0.0142347,8889,1,0.0150143,0.1,0.015,0.000654291
0.00123736,0.00132518,1.1697,0,100022,1.9241,0,0.00132518,0.765496,0.23253,0,0.00197384,100000,296.945,296.941,3.76851,-0.168006,-0.0073283,0.00886082,9089,1,0.015765,0.1,0.01575,0.000687005
