"kappa","mut","rho","CO2","pd","k","H2O","alphat","N2","O2","dQ","aC3H6O","p","T","epsilon","U:0","U:1","U:2","mflux","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00649333,0.00145081,1.26099,0,100002,5.04838,0,0.00145081,0.734815,0.228719,0,0.0364668,100000,279.605,1994.8,26.9472,0,0,1.2389,36,1,0,0.05,0,0
0.0080808,0.0015471,1.25921,0,100002,6.74416,0,0.0015471,0.735524,0.228792,0,0.0356836,100000,280.009,3365.6,26.2323,0.0758946,0,1.18165,296,1,0.001,0.05,0.001,0
0.0109367,0.00187679,1.25349,0,100002,11.1211,0,0.00187679,0.737408,0.229064,0,0.033529,100000,281.081,7457.24,24.1966,0.161943,0,1.05145,556,1,0.002,0.05,0.002,0
0.0127593,0.00225809,1.24396,0,100001,15.7116,0,0.00225809,0.740397,0.229471,0,0.0301322,100000,282.753,12248.1,21.2875,0.232432,0,0.78524,946,1,0.003,0.05,0.003,0
0.0132342,0.00251698,1.23224,0,100001,18.3178,0,0.00251698,0.744052,0.22996,0,0.0259887,100000,284.793,14790.9,18.1064,0.260581,0,0.605853,1206,1,0.004,0.05,0.004,0
0.0127262,0.00260055,1.21967,0,100001,18.3757,0,0.00260055,0.74809,0.230489,0,0.0214213,100000,287.075,14265.9,14.9744,0.239348,0,0.373119,1596,1,0.005,0.05,0.005,0
0.0116616,0.00251202,1.20754,0,100000,16.4266,0,0.00251202,0.752081,0.23101,0,0.0169093,100000,289.348,11697.6,12.1265,0.176629,0,0.237357,1856,1,0.006,0.05,0.006,0
0.0103259,0.00227845,1.1964,0,100000,13.3216,0,0.00227845,0.755813,0.231505,0,0.0126821,100000,291.486,8410.86,9.6101,0.0855743,0,0.125337,2116,1,0.007,0.05,0.007,0
0.00881927,0.00191115,1.18664,0,100000,9.68026,0,0.00191115,0.759173,0.231946,0,0.00888047,100000,293.427,5278.65,7.47437,-0.0234894,0,0.0815667,2246,1,0.008,0.05,0.008,0
0.00725219,0.00145622,1.17841,0,99999.9,6.145,0,0.00145622,0.762042,0.232341,0,0.00561731,100000,295.1,2778.36,5.70529,-0.13446,0,0.048039,2376,1,0.009,0.05,0.009,0
0.00570247,0.000950825,1.17205,0,99999.8,3.2501,0,0.000950825,0.76434,0.232582,0,0.00307819,100000,296.405,1189.06,4.37034,-0.23353,0,0.0101223,2636,1,0.01,0.05,0.01,0
0.00422557,0.000480362,1.1677,0,99999.8,1.31082,0,0.000480362,0.765887,0.232786,0,0.00132709,100000,297.307,383.245,3.4748,-0.304266,0,0.00266653,2766,1,0.011,0.05,0.011,0
0.00282135,0.000156837,1.16537,0,99999.8,0.333597,0,0.000156837,0.766415,0.233213,0,0.000371499,100000,297.803,75.2047,3.00082,-0.331912,0,0.000255479,2896,1,0.012,0.05,0.012,0
0.00139131,2.33702e-05,1.16456,0,99999.8,0.038382,0,2.33702e-05,0.766693,0.233259,0,4.73455e-05,100000,297.974,6.68912,2.85118,-0.321917,0,0.000255479,2896,1,0.013,0.05,0.013,0
0.000519924,4.90793e-06,1.16443,0,99999.8,0.00756073,0,4.90793e-06,0.766973,0.233017,0,9.38541e-06,100000,297.995,1.23701,2.84424,-0.299554,0,4.35893e-06,3026,1,0.014,0.05,0.014,0
0.000202238,4.31562e-07,1.1644,0,99999.8,0.000417915,0,4.31562e-07,0.767017,0.232983,0,3.89097e-07,100000,298,0.0464629,2.85045,-0.27949,0,3.12259e-08,3156,1,0.015,0.05,0.015,0
0.000119629,2.34721e-07,1.1644,0,99999.8,0.000143087,0,2.34721e-07,0.766997,0.233003,0,4.65757e-09,100000,298,0.009152,2.86009,-0.261427,0,1.86226e-10,3286,1,0.016,0.05,0.016,0
0.000117462,2.34669e-07,1.1644,0,99999.8,0.000140481,0,2.34669e-07,0.767005,0.232995,0,4.69224e-10,100000,298,0.00881902,2.86921,-0.245196,0,1.86226e-10,3286,1,0.017,0.05,0.017,0
0.000117333,2.34552e-07,1.1644,0,99999.8,0.000140291,0,2.34552e-07,0.767004,0.232996,0,1.71274e-11,100000,298,0.00879885,2.87743,-0.231265,0,9.36209e-13,3416,1,0.018,0.05,0.018,0
0.000117441,2.34441e-07,1.1644,0,99999.8,0.000140387,0,2.34441e-07,0.767003,0.232997,0,1.62696e-13,100000,298,0.00881505,2.88528,-0.218153,0,3.94877e-15,3546,1,0.019,0.05,0.019,0
0.000117557,2.34371e-07,1.1644,0,99999.8,0.000140505,0,2.34371e-07,0.767003,0.232997,0,5.75361e-14,100000,298,0.00883249,2.8924,-0.206632,0,3.94877e-15,3546,1,0.02,0.05,0.02,0
0.00011767,2.34316e-07,1.1644,0,99999.8,0.000140623,0,2.34316e-07,0.767002,0.232998,0,6.17724e-16,100000,298,0.0088494,2.89908,-0.195949,0,1.3922e-17,3676,1,0.021,0.05,0.021,0
0.000117778,2.34281e-07,1.1644,0,99999.8,0.000140742,0,2.34281e-07,0.767002,0.232998,0,2.11569e-16,100000,298,0.00886572,2.90526,-0.186246,0,1.3922e-17,3676,1,0.022,0.05,0.022,0
0.000117881,2.34256e-07,1.1644,0,99999.9,0.000140857,0,2.34256e-07,0.767001,0.232999,0,2.21467e-18,100000,298,0.00888121,2.91101,-0.17729,0,4.09159e-20,3806,1,0.023,0.05,0.023,0
0.000117978,2.34242e-07,1.1644,0,99999.9,0.000140969,0,2.34242e-07,0.767001,0.232999,0,9.02642e-19,100000,298,0.00889581,2.91632,-0.169125,0,4.09159e-20,3806,1,0.024,0.05,0.024,0
0.000118071,2.34233e-07,1.1644,0,99999.9,0.000141077,0,2.34233e-07,0.767001,0.232999,0,7.30813e-21,100000,298,0.00890979,2.92137,-0.161374,0,1.00019e-22,3936,1,0.025,0.05,0.025,0
0.000118154,2.34232e-07,1.1644,0,99999.9,0.000141176,0,2.34232e-07,0.767,0.233,0,3.77293e-21,100000,298,0.00892243,2.92588,-0.15451,0,1.00019e-22,3936,1,0.026,0.05,0.026,0
0.000118238,2.34231e-07,1.1644,0,99999.9,0.000141276,0,2.34231e-07,0.767,0.233,0,2.37732e-22,100000,298,0.00893507,2.9304,-0.147646,0,1.00019e-22,3936,1,0.027,0.05,0.027,0
0.000118309,2.34235e-07,1.1644,0,99999.9,0.000141363,0,2.34235e-07,0.767,0.233,0,1.33143e-23,100000,298,0.00894586,2.93424,-0.141823,0,2.03003e-25,4066,1,0.028,0.05,0.028,0
