"pd","pMean","TMean","N2","pPrime2Mean","kappa","rho","CO2","k","O2","aC3H6OMean","alphat","aC3H6OPrime2Mean","dQ","aC3H6O","p","T","mut","TPrime2Mean","H2O","epsilon","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","flux","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
100004,100000,291.993,0.759867,0.00561333,0.00085581,1.19379,0,4.80309,0.230829,0.00935916,0.0040624,6.79786e-08,0,0.00930429,100000,292.032,0.0040624,0.0251022,0,616.681,9.58501,0,0,9.57526,0,0,0.0252148,0,0,0,0,0,0.106912,1,0,0.2,0,0
100004,100000,292.052,0.759898,0.00561333,0.000806827,1.1935,0,4.78795,0.230839,0.00931901,0.004258,6.6891e-08,0,0.00926312,100000,292.096,0.004258,0.0244211,0,580.339,9.56491,0.0133524,0,9.5488,0.0145348,0,0.0249039,1.45909e-05,2.78143e-08,1.07072e-05,0,0,0.106182,1,0.00075,0.2,0.00075,0
100004,100000,292.114,0.759944,0.00561333,0.000768825,1.19322,0,4.7789,0.230853,0.0092556,0.00443884,6.49033e-08,0,0.00920313,100000,292.155,0.00443884,0.0234611,0,552.585,9.52026,0.0266802,0,9.5024,0.0285266,0,0.0241261,5.42521e-05,1.0342e-07,1.43256e-05,0,0,0.104951,1,0.0015,0.2,0.0015,0
100004,100000,292.188,0.760009,0.00561333,0.000760314,1.19289,0,4.77328,0.230872,0.00916471,0.00448044,6.20217e-08,0,0.00911902,100000,292.225,0.00448044,0.0221805,0,545.976,9.4546,0.0396274,0,9.43442,0.0420858,0,0.0229455,0.000116847,2.22743e-07,-4.6385e-07,0,0,0.103216,1,0.00225,0.2,0.00225,0
100004,100000,292.277,0.760093,0.00561333,0.000761238,1.19248,0,4.76807,0.230898,0.00904549,0.00446847,5.83866e-08,0,0.0090094,100000,292.308,0.00446847,0.0206487,0,546.07,9.36832,0.0518885,0,9.34467,0.0550097,0,0.0214596,0.000197801,3.77065e-07,-3.76431e-05,0,0,0.100991,1,0.003,0.2,0.003,0
100004,100000,292.382,0.760196,0.00561333,0.00076457,1.192,0,4.76196,0.230929,0.00889893,0.00444142,5.42436e-08,0,0.00887439,100000,292.407,0.00444142,0.0189866,0,547.771,9.2613,0.0633338,0,9.2341,0.0671186,0,0.0197716,0.000291647,5.55961e-07,-9.86564e-05,0,0,0.0983037,1,0.00375,0.2,0.00375,0
100004,100000,292.502,0.760319,0.00561333,0.000768576,1.19144,0,4.7533,0.230966,0.00872663,0.00440809,4.98909e-08,0,0.00871502,100000,292.52,0.00440809,0.017309,0,549.654,9.13498,0.073837,0,9.1041,0.0782502,0,0.0179745,0.000392356,7.47939e-07,-0.000182136,0,0,0.095198,1,0.0045,0.2,0.0045,0
100004,100000,292.637,0.760459,0.00561333,0.000772554,1.19081,0,4.73996,0.231009,0.00852926,0.0043707,4.51023e-08,0,0.00853182,100000,292.647,0.0043707,0.0154359,0,550.965,8.99042,0.0834034,0,8.95563,0.0884002,0,0.0161386,0.000495751,9.4504e-07,-0.000283526,0,0,0.0918087,1,0.00525,0.2,0.00525,0
100004,100000,292.783,0.760615,0.00561333,0.000776007,1.19013,0,4.71975,0.231057,0.0083109,0.00433012,4.05055e-08,0,0.00832809,100000,292.785,0.00433012,0.0136832,0,551.084,8.83031,0.091779,0,8.79161,0.0972855,0,0.0143534,0.000593479,1.13134e-06,-0.000397306,0,0,0.0877338,1,0.006,0.2,0.006,0
100004,100000,292.941,0.760786,0.00561333,0.00077861,1.18939,0,4.69069,0.231109,0.0080736,0.00428633,3.61097e-08,0,0.0081052,100000,292.934,0.00428633,0.0120366,0,549.545,8.65621,0.0989762,0,8.61372,0.104896,0,0.0126694,0.000683115,1.30221e-06,-0.000516522,0,0,0.08442,1,0.00675,0.2,0.00675,0
