TIME	Pressão	Np	Gp	Wp	Wi	Gi	We
(day)	(kgf/cm²)	(m3)	(m3)	(m3)			
0	97.45	0	0	0	0	0	0
1	97.23	159	3195.9	1.34E-005	0	0	0
31	91.92	4389	88218.9	0	0	0	0
62	88.08	7656.4	153893.64	0	0	0	0
92	85.86	9708.4	195138.84	0	0	0	0
123	82.04	13084.3	262994.44	0.01	0	0	0
154	78.61	16221.5	326052.16	0.01	0	0	0
182	75.71	18937.5	380643.75	0.02	0	0	0
213	72.65	21882.5	439838.25	0.02	0	0	0
243	70.04	24468.5	491816.84	0.03	0	0	0
274	67.31	27193.4	546587.31	0.04	0	0	0
304	64.61	29893.4	600857.31	0.05	0	0	0
335	61.89	32664.8	656562.5	0.06	0	0	0
365	62.58	32733.8	657949.38	0.06	0	0	0
366	62.68	32677.72	656822.25	0.06	0	0	0
396	61.28	34298.56	689401	0.06	0	0	0
427	59.23	36622.42	736110.56	0.07	0	0	0
457	57.8	38797.49	779829.56	0.08	0	0	0
488	56.59	41147.71	827069.06	0.09	0	0	0
519	55.34	44021.04	884820.56	0.1	0	0	0
547	54.24	47002.64	944643.31	0.12	0	0	0
578	53.51	50330.03	1011358.19	0.13	0	0	0
608	52.89	53541.08	1075745.5	0.15	0	0	0
639	52.24	56954.68	1144554	0.17	0	0	0
669	51.73	60447.16	1215123.25	0.19	0	0	0
700	51.2	64116.79	1289145.38	0.21	0	0	0
730	50.7	67330.48	1353497.5	0.23	0	0	0
731	50.61	67437.6	1355654.63	0.23	0	0	0
761	50.29	70314.63	1413237.25	0.24	0	0	0
792	49.96	73384.52	1475413.13	0.26	0	0	0
822	49.57	76627.46	1541765.38	0.28	0	0	0
853	49.18	80142.73	1614336.75	0.3	0	0	0
884	48.82	83604.27	1686370	0.32	0	0	0
912	48.52	86618.41	1748831.13	0.34	0	0	0
943	48.23	90050.88	1821113.5	0.36	0	0	0
973	48.23	91127.76	1842436.38	0.36	0	0	0
1004	47.92	94373.52	1906691.63	0.38	0	0	0
1034	47.66	97542.09	1972568.5	0.4	0	0	0
1064	47.44	100622.02	2037101.88	0.42	0	0	0
1065	47.39	100724.86	2039262.13	0.42	0	0	0
1096	47.16	104343.65	2120099.5	0.44	0	0	0
1125	46.92	107612.05	2192326.75	0.46	0	0	0
1126	46.89	107758.14	2195473.5	0.46	0	0	0
1157	46.53	112336.66	2294950	0.49	0	0	0
1187	46.27	116667.36	2389618.5	0.52	0	0	0
1218	45.99	121150.23	2490370.75	0.55	0	0	0
1249	45.72	125873.36	2601436.25	0.58	0	0	0
1278	45.46	130446.51	2713734.25	0.61	0	0	0
1309	45.26	134381.28	2805707.25	0.64	0	0	0
1339	45.04	138881.55	2919980.25	0.67	0	0	0
1370	44.82	143476.92	3037865	0.7	0	0	0
1400	44.64	147713.77	3147193.75	0.73	0	0	0
1431	44.44	152212.39	3270557.25	0.76	0	0	0
1462	44.24	156803.13	3400034.75	0.79	0	0	0
1492	44.05	161422.3	3536427	0.82	0	0	0
1522	43.87	165908.45	3671219.5	0.85	0	0	0
1523	43.88	166099.09	3677483.25	0.85	0	0	0
1553	43.64	171435.08	3824349.5	0.89	0	0	0
1584	43.37	177575.41	4047954.75	0.94	0	0	0
1615	43.12	183563.67	4278531.5	0.98	0	0	0
1643	42.9	189043.27	4498840.5	1.02	0	0	0
1674	42.66	195060.66	4750202	1.07	0	0	0
1704	42.45	200877.09	4999947.5	1.11	0	0	0
1735	42.24	206544.81	5239949.5	1.15	0	0	0
1765	42.05	211966.19	5482267.5	1.19	0	0	0
1796	41.84	217755.28	5741360.5	1.24	0	0	0
1827	41.64	223603.47	6004851.5	1.29	0	0	0
1857	41.44	229281.78	6262787	1.33	0	0	0
1888	41.24	235203.19	6543218.5	1.38	0	0	0
1918	41.03	240963.77	6827143	1.42	0	0	0
1949	40.81	246852.39	7128888.5	1.47	0	0	0
1980	40.53	253406.02	7515009	1.53	0	0	0
2008	40.31	258822.52	7830704.5	1.57	0	0	0
2039	40.04	264882.59	8206260.5	1.63	0	0	0
2069	39.78	270599.16	8568442	1.68	0	0	0
2100	39.48	276690.75	8979019	1.73	0	0	0
2130	39.2	282393.81	9366992	1.78	0	0	0
2161	38.93	288021.88	9747545	1.83	0	0	0
2192	38.66	293624.97	10129090	1.88	0	0	0
2222	38.39	299182.06	10516091	1.93	0	0	0
2253	38.08	305244.63	10967938	1.99	0	0	0
2283	37.76	311046.59	11414234	2.04	0	0	0
2314	37.43	317017.31	11891061	2.1	0	0	0
2345	37.08	323106.34	12403720	2.16	0	0	0
2373	36.81	327979.09	12799430	2.2	0	0	0
2404	36.48	333708.75	13289094	2.26	0	0	0
2434	36.18	338887.75	13726357	2.31	0	0	0
2465	35.87	344167.81	14173445	2.36	0	0	0
2494	35.63	348634.69	14506827	2.41	0	0	0
2495	35.63	348787.16	14514433	2.41	0	0	0
2526	35.4	354384.88	14800672	2.47	0	0	0
2557	35.15	360398.56	15137610	2.53	0	0	0
2587	34.89	366123.66	15476385	2.6	0	0	0
2618	34.6	372294.66	15892387	2.67	0	0	0
2648	34.28	378381.69	16353416	2.74	0	0	0
2679	33.93	384549.72	16868068	2.81	0	0	0
2710	33.55	390749.69	17449374	2.88	0	0	0
2739	33.18	396491.56	18029598	2.95	0	0	0
2770	32.86	401856.63	18524778	3.02	0	0	0
2800	32.47	407626.41	19134684	3.09	0	0	0
2831	32.05	413496.94	19800706	3.16	0	0	0
2861	31.64	419069.16	20477598	3.23	0	0	0
2892	31.28	424103.81	21053366	3.3	0	0	0
2923	30.97	428701.44	21531556	3.35	0	0	0
2953	30.64	433501.16	22060734	3.41	0	0	0
2984	30.28	438649.34	22635540	3.48	0	0	0
3014	29.93	443567.81	23201836	3.54	0	0	0
3045	29.49	449554.34	23888468	8.15	0	0	0
3076	29.03	455295.03	24606932	15.74	0	0	0
3104	28.59	460810.69	25314468	24.28	0	0	0
3135	28.11	466718.84	26090496	35.32	0	0	0
3165	27.62	472549.41	26907506	49.82	0	0	0
3196	27.11	478481.94	27779066	69.25	0	0	0
3226	26.63	484000.28	28615610	92.72	0	0	0
3257	26.13	489720.53	29518910	122.99	0	0	0
3288	25.62	495437.06	30466702	160.34	0	0	0
3318	25.11	500945.19	31407518	196.86	0	0	0
3349	24.62	506374.06	32339416	245.59	0	0	0
3379	24.13	511707.03	33278718	299.89	0	0	0
3410	23.6	517313.66	34303816	365.06	0	0	0
3441	23.08	522762.53	35341552	438.75	0	0	0
3468	22.63	527398.75	36235780	501.28	0	0	0
3469	22.62	527570.06	36268832	503.55	0	0	0
3500	22.13	532616.13	37230912	568.81	0	0	0
3530	21.65	537751.44	38210244	640.55	0	0	0
3561	21.22	542565.38	39092656	712.68	0	0	0
3591	20.79	547026.75	39921024	774.66	0	0	0
3622	20.37	551677.06	40793740	841.62	0	0	0
